,B-SOiD labels,Start time (frames),Run lengths
0,0,0,636
1,6,636,2
2,0,638,3
3,6,641,85
4,2,726,2
5,6,728,2
6,2,730,14
7,6,744,2
8,2,746,1
9,6,747,21
10,2,768,2
11,6,770,4
12,2,774,78
13,3,852,2
14,2,854,3
15,3,857,1
16,4,858,12
17,6,870,2
18,4,872,4
19,6,876,19
20,1,895,1
21,6,896,4
22,5,900,2
23,1,902,3
24,5,905,1
25,1,906,516
26,5,1422,2
27,1,1424,2
28,4,1426,1
29,5,1427,1
30,4,1428,2
31,5,1430,2
32,4,1432,2
33,5,1434,2
34,4,1436,1
35,5,1437,27
36,6,1464,2
37,5,1466,2
38,6,1468,140
39,4,1608,2
40,6,1610,1
41,4,1611,711
42,5,2322,2
43,4,2324,4
44,5,2328,30
45,6,2358,6
46,5,2364,24
47,6,2388,90
48,2,2478,2
49,6,2480,2
50,4,2482,1
51,2,2483,1
52,6,2484,42
53,4,2526,240
54,3,2766,1
55,4,2767,17
56,3,2784,6
57,4,2790,12
58,3,2802,2
59,4,2804,2
60,3,2806,8
61,4,2814,96
62,3,2910,1
63,4,2911,4
64,3,2915,1
65,4,2916,378
66,5,3294,18
67,6,3312,1
68,5,3313,65
69,6,3378,2
70,5,3380,1
71,6,3381,82
72,4,3463,1
73,6,3464,6
74,4,3470,4
75,6,3474,30
76,4,3504,2
77,6,3506,1
78,4,3507,105
79,6,3612,2
80,4,3614,1
81,6,3615,15
82,5,3630,2
83,6,3632,2
84,5,3634,8
85,4,3642,2
86,5,3644,1
87,4,3645,9
