,B-SOiD labels,Start time (frames),Run lengths
0,5,0,450
1,6,450,2
2,5,452,1
3,6,453,9
4,5,462,294
5,6,756,2
6,5,758,2
7,6,760,8
8,5,768,2
9,6,770,1
10,5,771,105
11,6,876,2
12,5,878,3
13,6,881,7
14,5,888,2
15,6,890,2
16,5,892,38
17,4,930,2
18,5,932,4
19,3,936,134
20,6,1070,3
21,3,1073,1
22,5,1074,2
23,3,1076,1
24,5,1077,3
25,3,1080,2
26,5,1082,2
27,3,1084,290
28,6,1374,2
29,3,1376,3
30,6,1379,13
31,5,1392,2
32,6,1394,2
33,5,1396,14
34,3,1410,198
35,6,1608,2
36,3,1610,1
37,6,1611,9
38,5,1620,2
39,3,1622,2
40,5,1624,9
41,3,1633,1
42,5,1634,4
43,3,1638,198
44,6,1836,2
45,3,1838,1
46,6,1839,3
47,3,1842,2
48,6,1844,1
49,3,1845,3
50,5,1848,6
51,3,1854,12
52,2,1866,2
53,3,1868,1
54,2,1869,213
55,6,2082,2
56,2,2084,3
57,6,2087,1
58,2,2088,426
59,6,2514,2
60,2,2516,2
61,6,2518,8
62,2,2526,1
63,5,2527,1
64,6,2528,1
65,2,2529,3
66,5,2532,7
67,2,2539,1
68,5,2540,4
69,2,2544,312
70,6,2856,2
71,2,2858,1
72,6,2859,99
73,1,2958,2
74,6,2960,1
75,1,2961,21
76,6,2982,24
77,1,3006,2
78,6,3008,3
79,1,3011,7
80,6,3018,2
81,1,3020,1
82,6,3021,3
83,5,3024,2
84,6,3026,2
85,5,3028,2
86,1,3030,2
87,5,3032,1
88,1,3033,273
89,6,3306,2
90,1,3308,3
91,6,3311,7
92,1,3318,2
93,6,3320,2
94,1,3322,38
95,5,3360,2
96,1,3362,1
97,5,3363,9
98,1,3372,216
