Frame@10hz,Group0_probability,Group1_probability,Group2_probability,Group3_probability,Group4_probability,Group5_probability,Group6_probability,Group7_probability,Group8_probability,Group9_probability,Group10_probability,Group11_probability,Group12_probability,Group13_probability,Group14_probability,Group15_probability,Group16_probability,Group17_probability,Group18_probability,Group19_probability,Group20_probability,Group21_probability,Group22_probability,Group23_probability,Group24_probability,Group25_probability,Group26_probability,Group27_probability,Group28_probability,Group29_probability,Group30_probability,Group31_probability,Group32_probability
0,0.0011519565772310691,0.0037597631507609113,0.0011243035411715402,0.0011569369633291178,0.0011633061349085262,0.016368788240300126,0.022407893328589695,0.0011478081569222523,0.020710482488840925,0.0011209761425487962,0.03514530526905104,0.030799112754017307,0.0011481673488751667,0.007305460051709748,0.007054194879156623,0.0055097588416305535,0.0062116028096219226,0.0011318973272062512,0.006246992988144654,0.172493753879075,0.001133032740077713,0.0011251521638467785,0.0011170473289342576,0.005728962972258789,0.020745968538027168,0.02017908240575835,0.034177274148441746,0.058000889055322795,0.014018931930356405,0.013626947595279684,0.005435519858836861,0.005943460345303848,0.005941115842830083
1,5.422103215386946e-309,1.6040390202809446e-308,5.297777478952716e-309,5.438304652305616e-309,5.474741947449067e-309,4.43161038182799e-308,1.8788180673839115e-307,5.409890544081716e-309,1.3407273340046788e-307,5.292446903168e-309,8.102038612712635e-308,6.523465308995239e-308,5.413096455873493e-309,2.5922665853297787e-308,2.518657231796787e-308,2.104368031655911e-308,2.275942268429077e-308,5.34480349315354e-309,2.3266450700717727e-308,7.749684332960028e-308,5.351759756353203e-309,5.31766113385222e-309,5.27991837880373e-309,2.208763169256066e-308,1.931769298396965e-307,1.970714404598709e-307,1.1534571299835411e-307,9.7473616347004e-308,4.100038531309893e-307,1.0,2.103934580940652e-308,2.228069056742673e-308,2.23550687671918e-308
2,8.378925756033996e-309,1.0,8.107074656599143e-309,8.497212201988134e-309,8.62533593336208e-309,1.6774333898146436e-308,1.454453708241531e-308,8.436452869213113e-309,1.387066201714379e-308,8.073820702208014e-309,1.577498970280999e-308,1.609533553337556e-308,8.477587637949763e-309,1.7970399188204523e-308,1.7829029901036857e-308,1.6969930818049007e-308,1.738447147366694e-308,8.309375503507314e-309,1.791857312851901e-308,1.527623544830764e-308,8.267761831214557e-309,8.20258463681275e-309,8.10879309466114e-309,1.7748991650622503e-308,1.3826928762331573e-308,1.3716711717156833e-308,1.451452124377772e-308,1.527438877063246e-308,1.3299234717289387e-308,1.332338854556066e-308,1.710491004370121e-308,1.7287632126445036e-308,1.6709978801732944e-308
3,6.514716036573163e-309,1.8869888701515654e-308,6.324522988236435e-309,6.53481131806884e-309,6.571349432923746e-309,4.0961014243696084e-308,2.3076624400756627e-308,6.47056604632464e-309,2.1813304571190257e-308,6.30836097823817e-309,2.62779236077388e-308,3.1186553478830445e-308,6.456536563088484e-309,1.0820963016871064e-307,1.2517112456228202e-307,6.016087997852203e-307,2.4182520806349476e-307,6.351542238911133e-309,2.2951533040605542e-307,2.7816512652108143e-308,6.359266701700316e-309,6.30957815670539e-309,6.270337640227793e-309,2.9076465758016256e-307,2.2406978129826893e-308,2.2121883002526036e-308,2.376507753581725e-308,2.531895447153613e-308,2.053054682840467e-308,2.084223081838599e-308,1.0,4.196619646613163e-307,4.0383997377014474e-307
4,5.485445602770565e-309,1.676194812223378e-308,5.359791666858635e-309,5.50780177071928e-309,5.540681955807195e-309,5.510747625285258e-308,2.0035883774662272e-307,5.47126049931895e-309,4.069704027364022e-307,5.347827941631557e-309,1.0725815463083165e-307,8.384082993659669e-308,5.474490945913398e-309,2.896354940828411e-308,2.8126000579240115e-308,2.3139970230024023e-308,2.5328138219832277e-308,5.402090614246143e-309,2.5602859044564724e-308,1.368510886439819e-307,5.406560560112503e-309,5.371508190113993e-309,5.333712763656205e-309,2.4025623206206874e-308,1.0,4.085405381088079e-307,3.5374940384377154e-307,1.8772173662008984e-307,2.3401620262617282e-307,1.706535648665251e-307,2.2930561388066337e-308,2.452585948045712e-308,2.46219128143671e-308
5,0.009305995629156977,0.4648525083712453,0.009022068788777222,0.009420644656076387,0.009546554831450173,0.02231103164476133,0.019458948474124195,0.009352708863534981,0.018448004115614966,0.008985534689046846,0.021280751793631956,0.02155644817075956,0.009394314343647835,0.023134310518236716,0.022894715177265258,0.021210252790886897,0.02203630125910928,0.00921811395518389,0.02267335988322239,0.020436223935095314,0.009185135612215447,0.009113142791082605,0.00901204179824717,0.022328349209522744,0.01832578675660154,0.018191046240891642,0.01937318599632064,0.0205249636771379,0.017572365330079835,0.01759588778111903,0.02138545457273994,0.021826322025432988,0.021027526317781008
6,0.0009710248055703901,0.002910097898354024,0.0009486947743088746,0.0009743057992560335,0.0009806628856752402,0.009321155806539864,0.04566430843900962,0.0009687857798972864,0.03440349974407488,0.0009473891174856284,0.017323980871190543,0.013946786029708853,0.0009693382738322113,0.004986786666939826,0.0048414046819946835,0.004013676325594889,0.004358453694509562,0.0009569044184250439,0.004445601153355327,0.018673357352243562,0.000957936832297164,0.000951816407664809,0.0009451102410595943,0.004203970631185585,0.07089504006293267,0.05575599617941911,0.0307616329295875,0.02384625124004167,0.08201771335909729,0.07616858351798271,0.004002159014275642,0.004252624451008395,0.004269171413892222
7,5.7952823247495e-309,1.9314511834598246e-308,5.653835317183606e-309,5.816294731547983e-309,5.854608466994637e-309,8.418558449865352e-308,1.6712973819943135e-307,5.7787107251013e-309,9.894535201080823e-308,5.643787561188087e-309,1.0,2.5815856654048484e-307,5.781395042093973e-309,3.5810347794347783e-308,3.4432191317668495e-308,2.679890886746501e-308,2.985026010630084e-308,5.70168496528969e-309,3.0816680847615445e-308,1.963723946667438e-307,5.70856639547966e-309,5.66935607198591e-309,5.627391825661663e-309,2.8583483305023003e-308,1.020154294202909e-307,1.091520897156021e-307,1.4810538191490016e-307,2.4306234990351424e-307,7.814640211434508e-308,8.321243799862124e-308,2.680667738428024e-308,2.9041860535731887e-308,2.888042868514263e-308
8,6.404456443974097e-309,2.073394327867991e-308,6.223856595804864e-309,6.429424629972066e-309,6.467508435612893e-309,6.249524880852406e-308,2.8364738562397043e-308,6.369344339946536e-309,2.656532573775618e-308,6.20660580672082e-309,3.37364923748699e-308,4.217405148967595e-308,6.3610996282981e-309,6.740417200590807e-307,1.0,1.1860583141544724e-307,2.1246531994872843e-307,6.25942316655603e-309,2.813191469701061e-307,3.6249035357858905e-308,6.26498025302344e-309,6.21713397068571e-309,6.175561607926263e-309,1.4781086932196628e-307,2.739933696077288e-308,2.690546846305801e-308,2.964204767960723e-308,3.2260717335662553e-308,2.4553370092242484e-308,2.489659400385073e-308,1.1830234842498653e-307,1.82398973512178e-307,1.5410004912492603e-307
9,5.86215362743274e-309,1.958455343243764e-308,5.716153058137226e-309,5.88300779855319e-309,5.92111555418847e-309,1.2206372257145109e-307,1.0198007869104638e-307,5.84291498451893e-309,7.583681832322794e-308,5.70552451267872e-309,2.5017866649780757e-307,1.0,5.844072953251006e-309,4.1704625447337505e-308,3.985220675092608e-308,2.999169917643682e-308,3.386261117605496e-308,5.761960156583803e-309,3.5081726791983827e-308,1.837447687729611e-307,5.769052780613676e-309,5.728797696077284e-309,5.687008502073507e-309,3.2190489341873195e-308,8.016975380291034e-308,8.171022650871935e-308,1.0624309039313025e-307,1.5172710167773638e-307,6.233915447835537e-308,6.560187189782969e-308,2.998941754833568e-308,3.2824565780512747e-308,3.2655677391208035e-308
