Frame@10hz,"('Pose ', '1', '2', 'delta pixels')","('Pose ', '1', '3', 'delta pixels')","('Pose ', '1', '4', 'delta pixels')","('Pose ', '1', '5', 'delta pixels')","('Pose ', '2', '3', 'delta pixels')","('Pose ', '2', '4', 'delta pixels')","('Pose ', '2', '5', 'delta pixels')","('Pose ', '3', '4', 'delta pixels')","('Pose ', '3', '5', 'delta pixels')","('Pose ', '4', '5', 'delta pixels')","('Pose vector ', '1', '2', 'delta degrees')","('Pose vector ', '1', '3', 'delta degrees')","('Pose vector ', '1', '4', 'delta degrees')","('Pose vector ', '1', '5', 'delta degrees')","('Pose vector ', '2', '3', 'delta degrees')","('Pose vector ', '2', '4', 'delta degrees')","('Pose vector ', '2', '5', 'delta degrees')","('Pose vector ', '3', '4', 'delta degrees')","('Pose vector ', '3', '5', 'delta degrees')","('Pose vector ', '4', '5', 'delta degrees')","('Pose ', '1', 'vs prev. time', 'delta pixels')","('Pose ', '2', 'vs prev. time', 'delta pixels')","('Pose ', '3', 'vs prev. time', 'delta pixels')","('Pose ', '4', 'vs prev. time', 'delta pixels')","('Pose ', '5', 'vs prev. time', 'delta pixels')","('HDBSCAN', 'Assignment')","('HDBSCAN*SOFT', 'Assignment')"
0,46.889529649835964,329.23224869162374,294.7783061758766,429.73137649885876,289.28919491219375,248.08343357853485,382.93394238023893,138.6979712692885,197.7172940391207,135.2463006310519,2.302249662996917,0.7673229614234081,-1.32197346555271,0.2748011349074875,0.5376324507641163,-2.0050651045644416,0.03012451064175453,1.3091253699384446,-0.6385588506021047,3.6882949290949156,9.278557694529127,7.429140537173924,3.1098444440837083,10.582146336977136,3.732434615915473,19,19
1,46.14928499017211,332.2291372687293,296.53391589154967,426.27351083547705,293.002168925351,250.47126538919102,380.2039619124526,148.20456457274204,196.49520585671848,129.74622089310648,-1.3294692663884484,-0.22651470946422733,0.6595226099937317,0.016473094639312406,-0.09098771264570203,1.0236928016327056,0.18008438867227955,-0.28718787266431234,-0.19021506757615142,-1.4591673913155376,2.796358996592014,2.6930074345602395,3.271845658507905,3.9320950587443946,1.6006091473863215,29,29
2,44.04823239079743,324.02972770941204,308.21711066151437,423.506619654478,287.8878528675575,264.2782669106062,379.5785035442152,158.20811327295618,208.11096745447333,115.31164854572545,-0.019464725937595226,-0.0060342184839014545,0.5336164214900612,0.019977747210562648,-0.0661115936646427,0.6175318360915228,0.018177290226751526,0.10113296890700493,0.11730597220417664,-1.3637044336664355,0.6210653382086804,0.5915813676440869,0.8396217922243767,3.159534699271628,0.9120957593970728,1,1
3,45.324736456329646,331.8190246326232,304.4072374877069,416.25572443563175,295.16098501842185,259.2546828477368,371.1119002593767,161.82912337508017,203.44372829839156,111.85750565879535,-0.33609464296195063,-0.2558446951147052,-0.20505090406739507,-0.18987549811463672,-0.26469423106336765,-0.1878907186326113,-0.17535047428328385,0.11421123988669914,0.0446410648009478,-0.14638692725378258,4.3052815408627305,4.073792587139346,1.0658040498084167,0.0,0.8481944652520043,30,30
4,41.80824660135384,327.53210209585376,288.02559706156677,423.7275768944938,290.7761595832772,246.2175195069914,381.9203019540312,147.40291117828352,198.7190067810609,135.7116290345602,0.2663796534838956,-0.058577830681694344,0.12804821562491514,0.048688528618562044,-0.09885830787343804,0.10460943369419115,0.024940754619036477,0.9363424955134578,0.2884504256795771,-0.132387362298624,1.4881889011547322,1.4051693797270763,1.5554421894523442,2.335248269062515,0.444827276904811,24,24
5,43.98643719330775,323.91705945389,308.61295563658626,424.56340026903575,287.8538870407105,264.770171056025,380.7144785288877,155.600334659556,207.61804003997585,115.95312738834407,0.2016608400573475,0.008136601058172032,-0.25320338738293646,0.0008269149487663031,-0.03654190964155121,-0.32804618513625716,-0.022226911246929087,-0.5875033903357365,-0.3722134137597579,0.6790012208845487,1.1034566900391973,1.125279301907346,1.5380213755233731,2.7485026547536067,0.8212859427589759,1,1
6,43.81537185588059,328.0532692942424,290.59564873767727,424.43310025237025,289.51446982176407,246.798616979425,380.62098473859345,139.51853121618095,199.77731870575474,134.40765372820388,-0.8822215605283623,-0.14383087935046032,0.22091507194225987,-0.3106604920478624,-0.02013979721278146,0.41709070984914,-0.24659128362990637,0.09278599162950231,-0.6322997438622087,-1.5192765179798173,5.617666236090064,3.8057810065909576,1.9535005451355527,4.730845888699017,3.0981914332318636,-1,28
7,46.56333134679486,328.5889575731804,316.4790429399581,435.9935831310914,290.6321372430764,270.28654632633516,389.81617617352487,148.04669902646924,203.6608994387685,119.65870966295104,-6.237130150250095,-1.6680850756100933,-3.0035458187338575,-1.2280066943361951,-0.7918380107950381,-2.3828285918817795,-0.5968586844119557,-1.7427472158628192,-0.14293518350305606,3.4504941498955124,24.40572594570948,18.079407742726954,7.301201499231409,15.079796718440694,4.245787285487884,10,10
8,45.64625122811011,331.5830202978889,305.1836908019317,416.90855911228556,295.47381693110395,259.84830159407176,371.581945971831,161.94212661075147,204.00286221914908,111.73450212866202,0.7930877112834562,0.5192073225973469,0.4083798763371371,0.29898749739314967,0.4754672615130008,0.3411059726842965,0.23787897899095545,0.22352037934601363,0.08787969743826399,-0.0008022493920403859,4.02078747893791,2.6950855090858314,2.5526274139300025,0.0,0.7534990355526692,14,14
9,55.54630301290758,350.54182215566817,322.04097882083295,437.7917206156214,304.6521470542142,267.66334636792755,382.8482432673027,128.34038782964666,191.1476537515467,118.43387936223338,-6.39048438676714,-2.1738868274351577,-3.3990381768484443,-0.7162681118720766,-2.3712862869505673,-3.3539740604249717,-0.1778570080982806,5.912454108493483,5.7505625366627005,6.481175385227065,31.901453530943204,27.348061367452758,23.575840243232886,19.391529990662328,15.85816168305426,11,11
