Pose_relationships,median,"('histogram edge', 0)","('histogram edge', 1)","('histogram edge', 2)","('histogram edge', 3)","('histogram edge', 4)","('histogram edge', 5)","('histogram edge', 6)","('histogram edge', 7)","('histogram edge', 8)","('histogram edge', 9)","('histogram edge', 10)","('histogram edge', 11)","('histogram edge', 12)","('histogram edge', 13)","('histogram edge', 14)","('histogram edge', 15)","('histogram edge', 16)","('histogram edge', 17)","('histogram edge', 18)","('histogram edge', 19)","('histogram edge', 20)","('histogram edge', 21)","('histogram edge', 22)","('histogram edge', 23)","('histogram edge', 24)","('histogram edge', 25)","('histogram edge', 26)","('histogram edge', 27)","('histogram edge', 28)","('histogram edge', 29)","('histogram edge', 30)","('histogram edge', 31)","('histogram edge', 32)","('histogram edge', 33)","('histogram edge', 34)","('histogram edge', 35)","('histogram edge', 36)","('histogram edge', 37)","('histogram edge', 38)","('histogram edge', 39)","('histogram edge', 40)","('histogram edge', 41)","('histogram edge', 42)","('histogram edge', 43)","('histogram edge', 44)","('histogram edge', 45)","('histogram edge', 46)","('histogram edge', 47)","('histogram edge', 48)","('histogram edge', 49)","('histogram edge', 50)","('histogram prob for edge', 0)","('histogram prob for edge', 1)","('histogram prob for edge', 2)","('histogram prob for edge', 3)","('histogram prob for edge', 4)","('histogram prob for edge', 5)","('histogram prob for edge', 6)","('histogram prob for edge', 7)","('histogram prob for edge', 8)","('histogram prob for edge', 9)","('histogram prob for edge', 10)","('histogram prob for edge', 11)","('histogram prob for edge', 12)","('histogram prob for edge', 13)","('histogram prob for edge', 14)","('histogram prob for edge', 15)","('histogram prob for edge', 16)","('histogram prob for edge', 17)","('histogram prob for edge', 18)","('histogram prob for edge', 19)","('histogram prob for edge', 20)","('histogram prob for edge', 21)","('histogram prob for edge', 22)","('histogram prob for edge', 23)","('histogram prob for edge', 24)","('histogram prob for edge', 25)","('histogram prob for edge', 26)","('histogram prob for edge', 27)","('histogram prob for edge', 28)","('histogram prob for edge', 29)","('histogram prob for edge', 30)","('histogram prob for edge', 31)","('histogram prob for edge', 32)","('histogram prob for edge', 33)","('histogram prob for edge', 34)","('histogram prob for edge', 35)","('histogram prob for edge', 36)","('histogram prob for edge', 37)","('histogram prob for edge', 38)","('histogram prob for edge', 39)","('histogram prob for edge', 40)","('histogram prob for edge', 41)","('histogram prob for edge', 42)","('histogram prob for edge', 43)","('histogram prob for edge', 44)","('histogram prob for edge', 45)","('histogram prob for edge', 46)","('histogram prob for edge', 47)","('histogram prob for edge', 48)","('histogram prob for edge', 49)"
0,44.31517525017341,40.442662890499186,41.30363840939343,42.16461392828767,43.025589447181915,43.88656496607616,44.7475404849704,45.60851600386465,46.469491522758894,47.33046704165314,48.19144256054738,49.05241807944162,49.913393598335865,50.77436911723011,51.63534463612435,52.496320155018594,53.357295673912844,54.21827119280708,55.07924671170133,55.94022223059557,56.801197749489816,57.66217326838406,58.5231487872783,59.384124306172545,60.24509982506679,61.10607534396103,61.967050862855274,62.828026381749524,63.68900190064376,64.54997741953801,65.41095293843225,66.2719284573265,67.13290397622075,67.99387949511498,68.85485501400922,69.71583053290347,70.57680605179772,71.43778157069195,72.2987570895862,73.15973260848045,74.02070812737469,74.88168364626893,75.74265916516318,76.60363468405743,77.46461020295166,78.3255857218459,79.18656124074015,80.0475367596344,80.90851227852863,81.76948779742287,82.63046331631713,83.49143883521137,0.019619479905289606,0.09024960756433219,0.22758596690135943,0.14126025531808517,0.17265142316654855,0.2236620709202997,0.17265142316654855,0.03531506382952129,0.011771687943173764,0.007847791962115842,0.0,0.007847791962115842,0.0,0.003923895981057921,0.0,0.0,0.0,0.003923895981057921,0.0,0.0,0.007847791962115842,0.003923895981057921,0.0,0.0,0.003923895981057921,0.0,0.0,0.0,0.0,0.0,0.0,0.003923895981057954,0.0,0.0,0.007847791962115777,0.0,0.0,0.0,0.0,0.003923895981057954,0.0,0.0,0.0,0.0,0.0,0.003923895981057889,0.0,0.0,0.0039238959810578245,0.003923895981057954
1,330.3228547636488,313.07260201170175,314.0315875646224,314.990573117543,315.94955867046366,316.90854422338435,317.867529776305,318.82651532922563,319.78550088214627,320.7444864350669,321.70347198798754,322.6624575409082,323.6214430938289,324.5804286467495,325.53941419967015,326.4983997525908,327.4573853055114,328.41637085843206,329.3753564113527,330.33434196427334,331.29332751719403,332.25231307011467,333.2112986230353,334.17028417595594,335.1292697288766,336.0882552817972,337.04724083471785,338.00622638763855,338.9652119405592,339.9241974934798,340.88318304640046,341.8421685993211,342.80115415224174,343.7601397051624,344.71912525808307,345.6781108110037,346.63709636392434,347.596081916845,348.5550674697656,349.51405302268626,350.4730385756069,351.4320241285276,352.3910096814482,353.34999523436886,354.3089807872895,355.26796634021014,356.2269518931308,357.1859374460514,358.1449229989721,359.10390855189274,360.0628941048134,361.021879657734,0.0035228668128413003,0.0,0.0,0.0035228668128410917,0.0,0.0,0.0,0.0070457336256826006,0.0,0.0,0.0422744017540931,0.10216313757239771,0.0669344694439847,0.0317058013155717,0.0457972685669369,0.08807167032103251,0.07045733625682601,0.0669344694439847,0.16205187339069022,0.21137200877047801,0.0634116026311434,0.014091467251365201,0.0035228668128413003,0.0,0.0070457336256826006,0.0035228668128410917,0.0035228668128413003,0.0,0.0,0.0,0.0035228668128413003,0.0,0.0,0.0070457336256826006,0.0,0.0,0.0,0.0,0.0,0.0035228668128410917,0.0,0.0070457336256826006,0.0035228668128413003,0.0,0.0035228668128413003,0.0035228668128413003,0.007045733625682183,0.0035228668128413003,0.0,0.0035228668128413003
2,292.2520652492457,134.27655387332607,138.18492184054008,142.0932898077541,146.00165777496812,149.91002574218214,153.81839370939616,157.72676167661018,161.6351296438242,165.54349761103822,169.45186557825224,173.36023354546626,177.26860151268028,181.1769694798943,185.08533744710832,188.99370541432233,192.90207338153635,196.81044134875037,200.7188093159644,204.6271772831784,208.53554525039243,212.44391321760645,216.35228118482047,220.2606491520345,224.1690171192485,228.07738508646253,231.98575305367655,235.89412102089057,239.80248898810459,243.7108569553186,247.61922492253262,251.52759288974664,255.43596085696066,259.3443288241747,263.2526967913887,267.1610647586027,271.06943272581674,274.97780069303076,278.8861686602448,282.7945366274588,286.7029045946728,290.61127256188684,294.51964052910085,298.4280084963149,302.3363764635289,306.2447444307429,310.15311239795693,314.06148036517095,317.96984833238497,321.878216299599,325.786584266813,329.694952234027,0.0008643961895907588,0.0,0.0,0.0008643961895907588,0.0008643961895907588,0.0008643961895907588,0.0017287923791815176,0.004321980947953794,0.028525074256495045,0.03976222472117491,0.0034575847583630352,0.0017287923791815176,0.0,0.0008643961895907588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008643961895907588,0.0,0.0,0.0,0.0,0.0,0.0,0.0008643961895907588,0.0,0.0,0.0,0.0,0.0,0.005186377137544554,0.027660678066904282,0.02160990473976897,0.007779565706316829,0.0008643961895907588,0.04062662091076567,0.04667739423790098,0.0034575847583630352,0.0060507733271353125,0.004321980947953794,0.004321980947953794,0.0017287923791815176
3,419.30193916528475,383.2421270385896,384.6121310071197,385.9821349756498,387.35213894417984,388.7221429127099,390.09214688124,391.46215084977007,392.8321548183001,394.20215878683024,395.5721627553603,396.94216672389035,398.31217069242047,399.6821746609505,401.0521786294806,402.4221825980107,403.79218656654075,405.1621905350708,406.5321945036009,407.902198472131,409.27220244066103,410.64220640919115,412.0122103777212,413.3822143462513,414.7522183147814,416.12222228331143,417.49222625184154,418.8622302203716,420.23223418890166,421.60223815743177,422.9722421259618,424.3422460944919,425.712250063022,427.08225403155205,428.4522580000821,429.8222619686122,431.1922659371423,432.56226990567234,433.93227387420245,435.3022778427325,436.67228181126256,438.0422857797927,439.41228974832273,440.7822937168528,442.1522976853829,443.52230165391296,444.892305622443,446.26230959097313,447.6323135595032,449.00231752803325,450.37232149656336,451.7423254650934,0.002465962476008886,0.0024659624760087835,0.0,0.0,0.0,0.0,0.002465962476008886,0.0024659624760087835,0.002465962476008886,0.0,0.004931924952017567,0.002465962476008886,0.002465962476008886,0.0,0.0,0.007397887428026657,0.0024659624760087835,0.002465962476008886,0.002465962476008886,0.007397887428026351,0.036989437140133294,0.061649061900219584,0.02465962476008886,0.09370657408833767,0.0887746491363162,0.009863849904035544,0.01232981238004443,0.014795774856052702,0.08137676170829324,0.07891079923228435,0.05425117447219324,0.039455399616142174,0.022193662284079974,0.014795774856052702,0.014795774856053314,0.0,0.0024659624760087835,0.002465962476008886,0.009863849904035544,0.004931924952017567,0.0,0.002465962476008886,0.0024659624760087835,0.002465962476008886,0.002465962476008886,0.0,0.004931924952017772,0.0,0.0,0.002465962476008886
4,292.9956512989081,261.4092557966172,262.28624915142615,263.1632425062351,264.04023586104404,264.917229215853,265.794222570662,266.67121592547096,267.5482092802799,268.42520263508885,269.3021959898978,270.1791893447068,271.0561826995157,271.9331760543247,272.81016940913366,273.68716276394264,274.56415611875155,275.44114947356053,276.3181428283695,277.1951361831785,278.0721295379874,278.94912289279637,279.82611624760534,280.7031096024143,281.5801029572233,282.4570963120322,283.3340896668412,284.21108302165015,285.08807637645907,285.96506973126804,286.842063086077,287.719056440886,288.59604979569497,289.4730431505039,290.35003650531286,291.22702986012183,292.1040232149308,292.9810165697397,293.8580099245487,294.73500327935767,295.61199663416664,296.48898998897556,297.36598334378454,298.2429766985935,299.1199700534025,299.9969634082114,300.8739567630204,301.75095011782935,302.6279434726383,303.5049368274473,304.3819301822562,305.2589235370652,0.003852228024138512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003852228024138512,0.0,0.0,0.003852228024138512,0.0,0.0,0.0,0.003852228024138512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003852228024138512,0.0,0.0,0.007704456048277024,0.04237450826552363,0.08860124455518577,0.06934010443449322,0.06163564838622019,0.09245347257932429,0.10015792862760131,0.053931192337939166,0.030817824193110094,0.11556684072415536,0.23883813749658772,0.14638466491726346,0.015408912096555047,0.007704456048277024,0.007704456048277024,0.007704456048277024,0.007704456048277524,0.0,0.003852228024138512,0.0,0.007704456048277024,0.007704456048277524,0.007704456048277024
5,248.28269358724936,87.82743963642372,91.57339981617363,95.31935999592355,99.06532017567346,102.81128035542338,106.55724053517329,110.30320071492321,114.04916089467312,117.79512107442304,121.54108125417295,125.28704143392287,129.03300161367278,132.7789617934227,136.5249219731726,140.27088215292252,144.01684233267244,147.76280251242235,151.50876269217227,155.25472287192218,159.0006830516721,162.746643231422,166.49260341117193,170.23856359092184,173.98452377067176,177.73048395042167,181.4764441301716,185.2224043099215,188.96836448967142,192.71432466942133,196.46028484917125,200.20624502892116,203.95220520867107,207.698165388421,211.4441255681709,215.19008574792082,218.93604592767073,222.68200610742065,226.42796628717056,230.17392646692048,233.9198866466704,237.6658468264203,241.41180700617022,245.15776718592014,248.90372736567005,252.64968754541997,256.39564772516985,260.1416079049198,263.88756808466974,267.6335282644196,271.3794884441695,275.12544862391945,0.0009018724749508478,0.0,0.0,0.0,0.0009018724749508478,0.0009018724749508478,0.0,0.0018037449499016956,0.0018037449499016956,0.0036074898998033913,0.031565536623279676,0.042388006322689846,0.0027056174248525433,0.0,0.0,0.0009018724749508478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009018724749508478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009018724749508478,0.0,0.0,0.0,0.0,0.0,0.0,0.0009018724749508478,0.0018037449499016956,0.0,0.0072149797996067825,0.039682388897837303,0.020743066923869503,0.0009018724749508546,0.040584261372787846,0.02615430177357439,0.02885991919842735,0.007214979799606837,0.0036074898998033635
6,372.0730821184662,335.689067109442,336.87671876858684,338.06437042773166,339.2520220868765,340.4396737460213,341.6273254051661,342.81497706431094,344.00262872345576,345.1902803826006,346.3779320417454,347.5655837008902,348.75323536003503,349.94088701917985,351.1285386783247,352.3161903374695,353.5038419966143,354.69149365575913,355.87914531490395,357.06679697404877,358.2544486331936,359.4421002923384,360.62975195148323,361.81740361062805,363.00505526977287,364.1927069289177,365.38035858806245,366.5680102472073,367.7556619063521,368.94331356549696,370.1309652246417,371.31861688378655,372.50626854293137,373.6939202020762,374.881571861221,376.0692235203658,377.25687517951064,378.44452683865546,379.6321784978003,380.8198301569451,382.0074818160899,383.19513347523474,384.38278513437956,385.5704367935244,386.7580884526692,387.945740111814,389.13339177095884,390.32104343010366,391.5086950892485,392.6963467483933,393.8839984075381,395.07165006668293,0.00284458692274384,0.0,0.008533760768231521,0.0,0.0,0.00284458692274384,0.00284458692274384,0.0,0.0,0.0,0.00284458692274384,0.0,0.0,0.0,0.008533760768231521,0.0,0.00284458692274384,0.00284458692274384,0.00284458692274384,0.00284458692274384,0.00284458692274384,0.0,0.00568917384548768,0.00284458692274384,0.005689173845487953,0.0,0.005689173845487953,0.03129045615018075,0.07964843383683134,0.21334401920578802,0.04266880384115761,0.014222934613719202,0.00284458692274384,0.0,0.025601282304694564,0.02275669538195072,0.07680384691408369,0.07111467306859601,0.03982421691841377,0.04551339076390144,0.04835797768664529,0.025601282304694564,0.017067521536463043,0.0,0.0,0.00568917384548768,0.00284458692274384,0.00284458692274384,0.00568917384548768,0.00568917384548768
7,161.64538752205968,123.34726715101768,124.68186161482447,126.01645607863126,127.35105054243805,128.68564500624484,130.02023947005162,131.35483393385843,132.6894283976652,134.02402286147202,135.3586173252788,136.69321178908558,138.0278062528924,139.36240071669917,140.69699518050598,142.03158964431276,143.36618410811954,144.70077857192635,146.03537303573313,147.36996749953994,148.70456196334672,150.0391564271535,151.3737508909603,152.7083453547671,154.04293981857387,155.37753428238068,156.71212874618746,158.04672320999427,159.38131767380105,160.71591213760786,162.05050660141464,163.38510106522142,164.71969552902823,166.054289992835,167.3888844566418,168.7234789204486,170.05807338425538,171.39266784806216,172.72726231186897,174.06185677567575,175.39645123948256,176.73104570328934,178.06564016709615,179.40023463090293,180.7348290947097,182.06942355851652,183.4040180223233,184.73861248613008,186.0732069499369,187.4078014137437,188.74239587755045,190.07699034135726,0.00506277894895787,0.00506277894895787,0.007594168423436886,0.007594168423436806,0.0,0.002531389474478908,0.005062778948957924,0.002531389474478908,0.002531389474478962,0.0,0.002531389474478908,0.005062778948957924,0.015188336846873448,0.017719726321352734,0.02278250527031066,0.020251115795831266,0.04556501054062132,0.03797084211718362,0.02278250527031066,0.0,0.002531389474478908,0.002531389474478962,0.0,0.0,0.02278250527031066,0.027845284219267987,0.027845284219268584,0.02278250527031017,0.08100446318332678,0.07847307370884783,0.007594168423436724,0.002531389474478962,0.01265694737239481,0.06581612633645162,0.05569056843853717,0.06328473686197404,0.03543945264270472,0.0,0.002531389474478908,0.002531389474478962,0.0,0.002531389474478962,0.0,0.002531389474478908,0.0,0.0,0.0,0.0,0.0,0.002531389474478908
8,203.75099261959159,183.7773854462031,184.27488594220424,184.7723864382054,185.2698869342065,185.76738743020766,186.2648879262088,186.76238842220994,187.25988891821106,187.7573894142122,188.25488991021334,188.75239040621446,189.2498909022156,189.74739139821673,190.2448918942179,190.742392390219,191.23989288622016,191.73739338222128,192.2348938782224,192.73239437422356,193.22989487022468,193.72739536622584,194.22489586222696,194.7223963582281,195.21989685422923,195.71739735023039,196.2148978462315,196.71239834223263,197.20989883823378,197.7073993342349,198.20489983023606,198.70240032623718,199.19990082223833,199.69740131823946,200.1949018142406,200.69240231024173,201.18990280624286,201.687403302244,202.18490379824513,202.68240429424628,203.1799047902474,203.67740528624856,204.17490578224968,204.67240627825083,205.16990677425196,205.66740727025308,206.16490776625423,206.66240826225535,207.1599087582565,207.65740925425763,208.15490975025875,208.6524102462599,0.00679070353805386,0.006790703538053471,0.0,0.0,0.00679070353805386,0.0,0.00679070353805386,0.0,0.0,0.0,0.006790703538053471,0.0,0.006790703538053471,0.0,0.013581407076106942,0.00679070353805386,0.0,0.020372110614160416,0.00679070353805386,0.006790703538053471,0.00679070353805386,0.0,0.0,0.0,0.01358140707610772,0.02037211061416158,0.020372110614160416,0.02037211061416158,0.05432562830442777,0.04074422122832316,0.16297688491328333,0.1833489955274542,0.12902336722301597,0.04074422122832316,0.00679070353805386,0.03395351769026736,0.04074422122832316,0.013581407076106942,0.04074422122832316,0.06790703538053472,0.12902336722302335,0.23767462383187152,0.19013969906550807,0.09506984953275403,0.006790703538053471,0.00679070353805386,0.07469773891858819,0.11544196014691563,0.10865125660886175,0.05432562830442777
9,134.37836531245568,109.08306543154316,112.08940516581896,115.09574490009476,118.10208463437056,121.10842436864635,124.11476410292215,127.12110383719795,130.12744357147375,133.13378330574955,136.14012304002534,139.14646277430114,142.15280250857694,145.15914224285274,148.16548197712854,151.17182171140433,154.17816144568013,157.18450117995593,160.19084091423173,163.19718064850753,166.20352038278332,169.20986011705912,172.21619985133492,175.22253958561072,178.22887931988652,181.23521905416231,184.2415587884381,187.2478985227139,190.2542382569897,193.2605779912655,196.2669177255413,199.2732574598171,202.2795971940929,205.2859369283687,208.2922766626445,211.2986163969203,214.3049561311961,217.3112958654719,220.3176355997477,223.3239753340235,226.33031506829929,229.33665480257508,232.34299453685088,235.34933427112668,238.35567400540248,241.36201373967828,244.36835347395407,247.37469320822987,250.38103294250567,253.38737267678147,256.39371241105727,259.40005214533306,0.05618756822226217,0.0337125409333573,0.03596004366224779,0.006742508186671461,0.0044950054577809736,0.0044950054577809736,0.0033712540933357304,0.0022475027288904868,0.06967258459560509,0.005618756822226217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011237513644452434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011237513644452434,0.0011237513644452434,0.0,0.0011237513644452434,0.0,0.0044950054577809736,0.10001387143562666,0.0011237513644452434
