scorer,LMS,LMS,LMS,LMS,LMS,LMS,LMS,LMS,LMS,LMS
bodyparts,snout,snout,mandible,mandible,back,back,abdomen,abdomen,tailbase,tailbase
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/nicotine_emesis_10.19.21_shrew2/img39540.png,681.5708329138561,365.90531561461796,620.1392412497062,374.24787744555186,358.4861656431423,229.39066747206277,350.1436038122084,362.8716567670056,178.7418789221114,402.309221785966
labeled-data/nicotine_emesis_10.19.21_shrew2/img39541.png,681.5708329138561,365.90531561461796,620.1392412497062,374.24787744555186,356.210921507433,222.564935064935,350.90201852411144,358.32116849558713,178.7418789221114,402.309221785966
labeled-data/nicotine_emesis_10.19.21_shrew2/img39542.png,677.7787593543407,354.5290949360717,620.1392412497062,368.9389744622303,356.210921507433,222.564935064935,350.90201852411144,358.32116849558713,173.43297593878978,398.51714822645056
labeled-data/nicotine_emesis_10.19.21_shrew2/img39543.png,689.91339474479,347.70336252894396,636.065950199671,358.3211684955871,355.45250679552987,232.42432631967512,350.90201852411144,365.14690090271483,173.43297593878978,398.51714822645056
labeled-data/nicotine_emesis_10.19.21_shrew2/img39544.png,691.4302241685962,339.3608006980101,639.8580237591864,352.2538508003624,355.45250679552987,240.00847343870595,342.5594566931776,381.8320245645827,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39545.png,694.4638830162085,331.7766535789793,641.3748531829925,350.7370213765562,354.69409208362686,243.80054699822142,343.3178714050807,384.1072687002919,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39546.png,695.9807124400147,328.74299473136693,641.3748531829925,350.7370213765562,354.69409208362686,243.80054699822142,340.28421255746844,384.86568341219504,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39547.png,693.7054683043054,325.70933588375465,641.3748531829925,350.7370213765562,354.69409208362686,243.80054699822142,343.3178714050807,378.7983657169704,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39548.png,694.4638830162086,322.67567703614236,641.3748531829925,350.7370213765562,354.69409208362686,240.76688815060908,344.83470082888687,375.006292157455,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39549.png,694.4638830162086,322.67567703614236,636.8243649115741,349.22019195275,356.210921507433,232.42432631967517,349.3851891003054,366.66373032652103,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39550.png,682.3292476257592,305.2321386623714,633.0322913520587,347.70336252894384,356.210921507433,224.08176448874121,361.5198244907548,354.52909493607166,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39551.png,,,,,356.210921507433,224.08176448874121,361.5198244907548,354.52909493607166,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39552.png,691.430224168596,277.92920903386045,629.9986325044463,324.9509211718513,356.9693362193361,231.66591160777205,356.96933621933624,364.3884861908117,173.43297593878978,403.8260512097722
labeled-data/nicotine_emesis_10.19.21_shrew2/img39553.png,,,,,356.210921507433,238.4916440148998,352.4188479479177,373.48946273364874,170.3993170911775,403.0676364978691
labeled-data/nicotine_emesis_10.19.21_shrew2/img39554.png,,,,,355.45250679552987,243.80054699822142,347.86835967649915,380.3151951407765,170.3993170911775,405.3428806335784
labeled-data/nicotine_emesis_10.19.21_shrew2/img39555.png,695.9807124400146,219.5312762173229,650.4758297258294,283.99652672908474,354.69409208362674,248.35103526963997,347.86835967649915,380.3151951407765,170.3993170911775,405.3428806335784
labeled-data/nicotine_emesis_10.19.21_shrew2/img39556.png,693.7054683043053,224.8401792006445,650.4758297258294,283.99652672908474,354.69409208362674,248.35103526963997,349.3851891003053,384.865683412195,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39557.png,688.3965653209838,231.66591160777222,644.4085120306047,287.0301855766971,354.69409208362674,252.14310882915538,349.3851891003053,384.865683412195,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39558.png,682.3292476257591,247.592620557737,631.5154619282523,298.4064062552434,355.45250679552987,244.55896171012455,,,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39559.png,,,,,348.62677438840205,233.94115574348137,,,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39560.png,,,,,349.3851891003052,230.14908218396596,360.0029950669484,358.32116849558713,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39561.png,673.9866857948251,290.06384442430954,601.9372881640322,331.77665357897916,349.3851891003052,230.14908218396596,360.0029950669484,358.32116849558713,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39562.png,673.9866857948251,293.0975032719219,601.1788734521291,336.3271418503977,349.3851891003052,230.14908218396596,358.4861656431423,363.63007147890875,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39563.png,677.0203446424375,292.3390885600188,,,347.86835967649904,239.250058726803,366.82872747407623,365.905315614618,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39564.png,,,,,347.109944964596,242.28371757441528,366.82872747407623,365.905315614618,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39565.png,676.2619299305344,271.86189133863553,621.6560706735124,306.74896808617734,344.83470082888675,247.59262055773684,366.82872747407623,371.2142185979396,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39566.png,677.7787593543407,264.2777442196047,621.6560706735124,306.74896808617734,344.83470082888675,247.59262055773684,364.55348333836696,374.2478774455519,173.43297593878984,409.1349541930938
labeled-data/nicotine_emesis_10.19.21_shrew2/img39567.png,677.7787593543407,264.2777442196047,622.4144853854154,309.7826269337897,343.3178714050806,250.62627940534918,363.79506862646394,377.28153629316427,171.15773180308057,411.41019832880306
labeled-data/nicotine_emesis_10.19.21_shrew2/img39568.png,672.469856371019,272.6203060505386,618.6224118259,312.0578710694989,343.3178714050806,245.31737642202756,363.79506862646394,377.28153629316427,171.15773180308057,411.41019832880306
labeled-data/nicotine_emesis_10.19.21_shrew2/img39569.png,670.1946122353097,282.47969730527865,616.3471676901908,315.8499446290143,345.5931155407899,238.4916440148998,367.58714218597936,369.6973891741334,171.15773180308057,411.41019832880306
labeled-data/nicotine_emesis_10.19.21_shrew2/img39570.png,,,,,344.83470082888675,230.1490821839659,367.58714218597936,362.87165676700556,171.15773180308057,411.41019832880306
labeled-data/nicotine_emesis_10.19.21_shrew2/img39571.png,,,600.4204587402261,340.11921540991307,346.3515302526929,224.8401792006443,370.62080103359176,358.3211684955871,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39572.png,661.0936356924727,317.36677405282063,591.3194821973891,346.18653310513776,347.1099449645959,221.04810564112887,366.0703127621732,353.01226551226546,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39573.png,661.0936356924727,316.60835934091756,588.2858233497768,346.18653310513776,347.1099449645959,224.08176448874121,366.0703127621732,353.01226551226546,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39574.png,,,586.7689939259707,353.0122655122655,347.86835967649904,233.1827410315782,364.5534833383671,363.6300714789086,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39575.png,665.6441239638913,333.2934830027853,586.7689939259707,353.0122655122655,347.86835967649904,233.1827410315782,364.5534833383671,363.6300714789086,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39576.png,660.3352209805697,336.32714185039765,584.4937497902614,356.04592435987786,347.86835967649904,237.73322930299668,364.5534833383671,363.6300714789086,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39577.png,,,592.0778969092922,354.5290949360717,347.86835967649904,241.5253028625121,366.82872747407623,368.93897446223014,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39578.png,657.3015621329573,359.07958320749015,596.6283851807108,355.28750964797484,347.86835967649904,246.8342058458337,367.58714218597936,372.73104802174555,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39579.png,661.8520504043757,365.90531561461785,604.2125322997416,362.11324205510255,347.1099449645959,249.86786469344605,369.1039716097856,376.52312158126097,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39580.png,663.3688798281819,376.523121581261,606.4877764354508,371.2142185979396,347.8683596764989,253.65993825296147,372.1376304573979,378.79836571697024,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39581.png,663.368879828182,385.6240981240981,607.2461911473538,375.006292157455,347.8683596764989,258.21042652437995,372.1376304573979,378.79836571697024,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39582.png,,,,,347.8683596764989,258.21042652437995,372.1376304573979,378.79836571697024,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39583.png,659.5768062686666,397.75873351454743,603.4541175878384,388.65775697171046,347.8683596764989,258.21042652437995,374.4128745931072,380.31519514077644,181.77553776972374,410.6517836169
labeled-data/nicotine_emesis_10.19.21_shrew2/img39584.png,659.5768062686666,397.75873351454743,603.4541175878384,388.65775697171046,347.8683596764989,258.21042652437995,374.4128745931072,380.31519514077644,181.77553776972374,410.6517836169
